0001 [0001]
0003 [0003]
0005 [0005]
0007 [0007]
000f [000f]
0011 [0001,0001]
0012 [0012]
0013 [0003,0001]
0015 [0005,0001]
0016 [0012,0004]
0017 [0007,0001]
001a [0012,0008]
001b [000b,0001]
001e [0012,000c]
001f [000f,0001]
0031 [0001,0003]
0033 [0003,0003]
0035 [0005,0003]
0036 [0006,0003]
0037 [0007,0003]
003c [0018,0024]
003d [000d,0003]
003f [000f,0003]
0051 [0001,0005]
0053 [0003,0005]
0055 [0005,0005]
0057 [0007,0005]
005a [0048,0012]
005b [000b,0005]
005f [000f,0005]
0071 [0001,0007]
0072 [0002,0007]
0073 [0003,0007]
0075 [0005,0007]
0077 [0007,0007]
0079 [0009,0007]
007a [000a,0007]
007b [000b,0007]
007d [000d,0007]
007f [000f,0007]
00f1 [0001,000f]
00f3 [0003,000f]
00f5 [0005,000f]
00f7 [0007,000f]
00ff [000f,000f]
0111 [0001,0001,0001]
0112 [0012,0001]
0113 [0003,0001,0001]
0115 [0005,0001,0001]
0116 [0012,0004,0001]
0117 [0007,0001,0001]
011a [0012,0008,0001]
011b [000b,0001,0001]
011e [0012,000c,0001]
011f [000f,0001,0001]
0121 [0121]
0122 [0002,0012]
0123 [0003,0012]
0125 [0121,0004]
0126 [0006,0012]
0127 [0007,0012]
0129 [0121,0008]
012a [000a,0012]
012b [000b,0012]
012d [0121,000c]
012e [000e,0012]
012f [000f,0012]
0131 [0001,0003,0001]
0132 [0002,0003,0001]
0133 [0003,0003,0001]
0135 [0005,0003,0001]
0136 [0006,0003,0001]
0137 [0007,0003,0001]
0138 [0018,0012]
0139 [0009,0003,0001]
013a [000a,0003,0001]
013b [000b,0003,0001]
013c [0018,0024,0001]
013d [000d,0003,0001]
013e [000e,0003,0001]
013f [000f,0003,0001]
0151 [0001,0005,0001]
0153 [0003,0005,0001]
0154 [0004,0005,0001]
0155 [0005,0005,0001]
0156 [0006,0005,0001]
0157 [0007,0005,0001]
015a [0048,0012,0001]
015b [000b,0005,0001]
015e [000e,0005,0001]
015f [000f,0005,0001]
0162 [0002,0012,0004]
0163 [0003,0012,0004]
